STATION_CODE,STATION_NAME
TMR,Tumsar Road
TMS,Tumsar Town
TOR,Titur
TPNI,Tulyapani
TPQ,Tokapal
TPSK,M/s. BHARAT ALUMINIUM CO LTD SIDING
TRDI,Tirodi
TRKR,Turekala Road
TRO,Tirora
TRPB,TATA REFRACTORY PLANT SIDING
TTW,Titwa
TUD,Talodih Road
TWI,Totewahi
TXD,Tyada
UCLC,M/s. UltraTech Cement Limited
UCLH,ULTRATECH CEMENT LTD
UGSU,Uslapur Public Siding
UIH,Umaria Isra
UKEC,Urkura East Cabin
UKR,Udalkachhar
UKWC,Urkura West Cabin
ULA,Umra Nala
ULM,Urlam
UMR,Umaria
UPTY,UP Through Yard/BMY
URGA,Urga
URK,Urkura
URR,Umrer
USL,Uslapur
VBL,Bobbili Jn
VDPD,VADLAPUDI
VKR,Venkatnagar
VNCW,VISHAKAPTNAM NEW GOODS COMPLEX
VNK,Binaiki
VPMS,VISHAKAPATNAM PORT MANUAL IRON ORE UNLOADING SIDING
VPTG,VISHAKAPTNAM PORT TIPPLER IRON ORE UNLOADING SIDING
VSKP,Visakhapatnam
VSPS,Visakhapatnam Steel Plant Siding
VSPV,M/s Vizag Sea Port Pvt Ltd
VYK,Vilayat Kalan Road
VZM,Vizianagaram Jn.
VZP,Visakhapatnam Port
VZPB,VISHAKAPATNAM PORT B SIDING (IOC) VPT
VZPF,FCI Siding No. 1. VISHAKAPTANAM  PORT
VZPG,VISAKAPATNAM PORT NFG(FCI)SIDING NO. 2 VPT
VZPS,SAIL SIDING VISHAKAPTNAM PORT
VZPW,Visakhapatnam WCSFG SIDING
VZPZ,M/s. Hindustan Zinc Ltd. SIDING
WDG,Wadegaon
WGCR,WRS Public Siding
WRC,WRS Colony
WRI,Waraseoni
WSA,Wadsa
